"Player","Position"
"Dwight McNeil","LM"
"Eberechi Eze","LM"
"Eddie Nketiah","FW"
"Eden Hazard","LW"
"Ederson","GK"
"Edimilson Fernandes","AM"
"Edinson Cavani","FW"
"Edo Kayembe","DM"
"Edouard Mendy","GK"
"Eldin Jakupović","GK"
"Eliaquim Mangala","CB"
"Elias Kachunga","RW"
"Elliot Anderson","LM"
"Ellis Simms","FW"
"Emerson","WB"
"Emerson Hyndman","DM"
"Emerson Palmieri","LB"
"Emi Buendía","RW"
"Emil Krafth","RB"
"Emile Smith Rowe","AM"
"Emiliano Martínez","GK"
"Emmanuel Dennis","FW"
"Emre Can","DM"
"Enda Stevens","WB"
"Enock Mwepu","CM"
"Eric Bailly","CB"
"Eric Dier","CB"
"Eric García","CB"
"Eric Maxim Choupo-Moting","LW"
"Erik Durm","LB"
"Érik Lamela","RW"
"Erik Pieters","LB"
"Erling Haaland","FW"
"Ethan Ampadu","CB"
"Ethan Pinnock","CB"
"Étienne Capoue","DM"
"Evan Ferguson","AM"
"Ezequiel Schelotto","RB"
"Ezgjan Alioski","LB"
"Ezri Konsa","CB"
"Fabián Balbuena","CB"
"Fabian Delph","LB"
"Fabian Schär","CB"
"Fabinho","DM"
"Fabio Carvalho","AM"
"Fábio Silva","FW"
"Fabricio","GK"
"Faustino Anjorin","LW"
"Federico Fernández","CB"
"Felipe Anderson","LM"
"Femi Seriki","WB"
"Fernandinho","DM"
"Fernando Llorente","FW"
"Fernando Marçal","WB"
"Ferrán Torres","RW"
"Fikayo Tomori","CB"
"Filip Krovinović","CM"
"Finley Stevens","WB"
"Florent Hadergjonaj","RB"
"Florian Lejeune","CB"
"Florin Andone","FW"
"Floyd Ayité","RW"
"Flynn Downes","RM"
"Folarin Balogun","FW"
"Fousseni Diabaté","LW"
"Francis Coquelin","CM"
"Francisco Sierralta","CB"
"Francisco Trincão","RW"
"Frank Onyeka","CM"
"Fraser Forster","GK"
"Fred","DM"
"Freddie Ladapo","FW"
"Freddie Woodman","GK"
"Frederic Guilbert","RB"
"Gabriel Dos Santos","CB"
"Gabriel Jesus","FW"
"Gaëtan Bong","LB"
"Gaetano Berardi","CB"
"Gareth Bale","RW"
"Gareth Barry","DM"
"Gareth McAuley","CB"
"Gary Cahill","CB"
"Gary Madine","FW"
"Gavin Bazunu","GK"
"Gedson Fernandes","AM"
"Geoff Cameron","CB"
"George Baldock","WB"
"George Hirst","LW"
"Georges-Kévin N'Koudou","LM"
"Georginio Wijnaldum","CM"
"Gerard Deulofeu","FW"
"Gianluca Scamacca","FW"
"Giovani Lo Celso","CM"
"Glen Johnson","RB"
"Glenn Murray","FW"
"Gonçalo Guedes","FW"
"Gonzalo Higuaín","FW"
"Grady Diangana","LM"
"Granit Xhaka","DM"
"Grant Hanley","CB"
"Greg Cunningham","LB"
"Grzegorz Krychowiak","DM"
"Guido Carrillo","FW"
"Gylfi Sigurðsson","AM"
"Hakim Ziyech","RW"
"Hal Robson-Kanu","FW"
"Halil Dervişoğlu","AM"
"Hamza Choudhury","CM"
"Hannibal Mejbri","LW"
"Harrison Ashby","RB"
"Harrison Reed","DM"
"Harry Arter","CM"
"Harry Kane","FW"
"Harry Maguire","CB"
"Harry Toffolo","WB"
"Harry Wilson","RM"
"Harry Winks","DM"
"Harvey Barnes","LW"
"Harvey Elliott","CM"
"Hassane Kamara","LB"
"Håvard Nordtveit","CB"
"Héctor Bellerín","RB"
"Hélder Costa","RW"
"Henri Lansbury","CM"
"Henri Saivet","DM"
"Henrikh Mkhitaryan","RW"
"Heurelho Gomes","GK"
"Hugo Lloris","GK"
"Hwang Hee-chan","LW"
"Ian Carlo Poveda","RM"
"Ibrahim Afellay","AM"
"Ibrahim Amadou","CB"
"Ibrahima Cissé","DM"
"Ibrahima Diallo","DM"
"Ibrahima Konaté","CB"
"Idrissa Gana Gueye","DM"
"Ignacio Pussetto","RW"
"Iliman Ndiaye","DM"
"İlkay Gündoğan","CM"
"Illan Meslier","GK"
"Imran Louza","DM"
"Indiana Vassilev","FW"
"Isaac Hayden","CM"
"Isaac Mbenza","LW"
"Isaac Price","DM"
"Isaac Success","FW"
"Islam Slimani","FW"
"Ismaila Sarr","RW"
"Issa Diop","CB"
"Ivan Cavaleiro","FW"
"Ivan Perišić","WB"
"Ivan Toney","FW"
"Izzy Brown","LM"
"Jack Butland","GK"
"Jack Colback","DM"
"Jack Cork","DM"
"Jack Grealish","LW"
"Jack Harrison","LM"
"Jack O'Connell","CB"
"Jack Robinson","CB"
"Jack Rodwell","DM"
"Jack Simpson","CB"
"Jack Stacey","RB"
"Jack Stephens","CB"
"Jack Wilshere","CM"
"Jacob Murphy","WB"
"Jacob Ramsey","CM"
"Jaden Philogene Bidace","RW"
"Jadon Sancho","LW"
"Jaidon Anthony","LW"
"Jaïro Riedewald","CM"
"Jake Livermore","DM"
"Jake Vokins","LB"
"Jakob Sørensen","CB"
"Jakub Moder","CM"
"Jamaal Lascelles","CB"
"Jamal Lewis","LB"
"Jamal Lowe","FW"
"James Collins","CB"
"James Garner","CM"
"James Justin","RB"
"James Maddison","AM"
"James McArthur","CM"
"James Mcatee","CM"
"James McCarthy","CM"
"James McClean","LM"
"James Milner","CM"
"James Morrison","AM"
"James Rodríguez","RW"
"James Tarkowski","CB"
"James Tomkins","CB"
"James Ward-Prowse","DM"
"Jamie Murphy","LM"
"Jamie Shackleton","RB"
"Jamie Vardy","FW"
"Jan Bednarek","CB"
"Jan Vertonghen","CB"
"Jannik Vestergaard","CB"
"Japhet Tanganga","RB"
"Jarrad Branthwaite","CB"
"Jarrod Bowen","RW"
"Jason Puncheon","CM"
"Jason Steele","GK"
"Javier Hernández","FW"
"Javier Manquillo","WB"
"Jay Fulton","DM"
"Jay Rodriguez","FW"
"Jay Stansfield","RW"
"Jayden Bogle","WB"
"Jayson Molumby","DM"
"Jazz Richards","RB"
"Jean-Philippe Gbamin","CM"
"Jean-Philippe Mateta","FW"
"Jean Seri","CM"
"Jed Steer","GK"
"Jeff Hendrick","RM"
"Jefferson Lerma","DM"
"Jeffrey Schlupp","LM"
"Jeremie Boga","LW"
"Jeremy Ngakia","RB"
"Jérémy Pied","RB"
"Jeremy Sarmiento","AM"
"Jermain Defoe","FW"
"Jerome Sinclair","LW"
"Jesé","FW"
"Jesse Lingard","AM"
"Jesuran Rak Sakyi","RW"
"Jesús Gámez","LB"
"Jesús Vallejo","CB"
"Jetro Willems","WB"
"Jimmy Dunne","CB"
"Joachim Andersen","CB"
"João Cancelo","RB"
"João Mário","AM"
"João Moutinho","DM"
"João Palhinha","DM"
"João Pedro","FW"
"João Virgínia","GK"
"Joe Allen","DM"
"Joe Aribo","FW"
"Joe Bennett","LB"
"Joe Bryan","LB"
"Joe Gelhardt","FW"
"Joe Gomez","CB"
"Joe Hart","GK"
"Joe Lolley","LW"
"Joe Ralls","CM"
"Joe Rodon","CB"
"Joe Willock","CM"
"Joe Worrall","CB"
"Joel Coleman","GK"
"Joël Matip","CB"
"Joel Mumbongo","FW"
"Joël Veltman","CB"
"Joel Ward","RB"
"Joelinton","FW"
"Jóhann Berg Guðmundsson","RM"
"John Egan","CB"
"John Fleck","CM"
"John Lundstram","CM"
"John McGinn","CM"
"John Ruddy","GK"
"John Stones","CB"
"Jon Gorenc Stanković","DM"
"Jon Rowe","RW"
"Jonas Lössl","GK"
"Jonathan Hogg","DM"
"Jonathan Kodjia","FW"
"Jonathan Walters","AM"
"Jonjo Shelvey","DM"
"Jonjoe Kenny","RB"
"Jonny Castro","WB"
"Jonny Evans","CB"
"Jordan Ayew","FW"
"Jordan Henderson","DM"
"Jordan Hugill","FW"
"Jordan Pickford","GK"
"Jordan Thomas","RW"
"Jordan Zemura","LB"
"Jordon Ibe","RM"
"Jorginho","DM"
"José Fonte","CB"
"José Holebas","LB"
"José Izquierdo","LM"
"José Sá","GK"
"Joselu","FW"
"Josh Benson","RM"
"Josh Brownhill","DM"
"Josh Cullen","AM"
"Josh Dasilva","CM"
"Josh Maja","FW"
"Josh Martin","LW"
"Josh Murphy","LM"
"Josh Onomah","AM"
"Josh Sargent","FW"
"Josh Sims","RW"
"Josh Tymon","LB"
"Joshua King","FW"
"Josip Drmić","FW"
"Jota","RW"
"Juan Foyth","CB"
"Juan Mata","RW"
"Julián Álvarez","FW"
"Julián Speroni","GK"
"Julien Ngoy","AM"
"Juninho Bacuna","CM"
"Junior Firpo","LB"
"Junior Hoilett","LM"
"Junior Stanislas","LM"
"Juraj Kucka","CM"
"Jürgen Locadia","LW"
"Kadeem Harris","RM"
"Kai Havertz","FW"
"Kaide Gordon","FW"
"Kalidou Koulibaly","CB"
"Kalvin Phillips","DM"
"Kamil Grosicki","LW"
"Kaoru Mitoma","WB"
"Karl Darlow","GK"
"Karlan Grant","FW"
"Kasey McAteer","RW"
"Kasey Palmer","AM"
"Kasper Schmeichel","GK"
"Kayky Chagas","RW"
"Kayne Ramsey","CB"
"Kean Bryan","CB"
"Keane Lewis-Potter","RW"
"Keinan Davis","FW"
"Kelechi Iheanacho","FW"
"Kelland Watts","CB"
"Ken Sema","LM"
"Kenedy","LM"
"Kenneth Zohore","FW"
"Kenny McLean","CM"
"Kenny Tete","RB"
"Kepa Arrizabalaga","GK"
"Kevin Danso","LB"
"Kevin De Bruyne","CM"
"Kevin Long","CB"
"Kevin Mbabu","RB"
"Kevin McDonald","DM"
"Kevin Mirallas","FW"
"Kevin Wimmer","CB"
"Khanya Leshabela","AM"
"Ki-Jana Hoever","WB"
"Ki Sung-yueng","CM"
"Kieffer Moore","FW"
"Kieran Dowell","RW"
"Kieran Gibbs","LB"
"Kieran Tierney","LB"
"Kieran Trippier","RB"
"Kiernan Dewsbury-Hall","CM"
"Kiernan Dewsbury Hall","CM"
"Kieron Freeman","FW"
"Kiko Casilla","GK"
"Kiko Femenía","RB"
"Konstantinos Mavropanos","CB"
"Kortney Hause","CB"
"Kostas Stafylidis","LB"
"Kostas Tsimikas","LB"
"Kristoffer Ajer","CB"
"Kristoffer Klaesson","GK"
"Kurt Zouma","CB"
"Kyle Bartley","CB"
"Kyle Edwards","LM"
"Kyle Naughton","RB"
"Kyle Walker","RB"
"Kyle Walker-Peters","RB"
"Lasse Sørensen","DM"
"Laurent Depoitre","FW"
"Laurent Koscielny","CB"
"Lazar Marković","LW"
"Leander Dendoncker","CM"
"Leandro Bacuna","CM"
"Leandro Trossard","FW"
"Lee Chung-yong","LW"
"Lee Grant","GK"
"Lee Peltier","RB"
"Leif Davis","CB"
"Leighton Baines","LB"
"Léo Bonatini","FW"
"Leo Fuhr Hjelde","WB"
"Leon Bailey","RW"
"Leon Balogun","CB"
"Leon Britton","DM"
"Leon Clarke","FW"
"Leonardo Ulloa","FW"
"Leroy Fer","CM"
"Leroy Sané","LW"
"Levi Colwill","WB"
"Levi Lumeka","LW"
"Lewis Bate","DM"
"Lewis Brunt","DF"
"Lewis Cook","DM"
"Lewis Dobbin","FW"
"Lewis Dunk","CB"
"Lewis O'Brien","DM"
"Lewis Richardson","FW"
"Liam Cooper","CB"
"Liam Delap","FW"
"Liam McCarron","LW"
"Liam Rosenior","RB"
"Lisandro Martínez","CB"
"Lloyd Kelly","CB"
"Loïc Damour","CM"
"Loris Karius","GK"
"Lucas Digne","LB"
"Lucas Moura","RW"
"Lucas Pérez","FW"
"Lucas Torreira","DM"
"Luciano Narsingh","RW"
"Luciano Vietto","LW"
"Luis Díaz","LW"
"Luis Sinisterra","RW"
"Luka Milivojević","DM"
"Lukas Nmecha","FW"
"Lukas Rupp","CM"
"Łukasz Fabiański","GK"
"Luke Amos","CM"
"Luke Ayling","RB"
"Luke Cundle","DM"
"Luke Dreher","RM"
"Luke Freeman","CM"
"Luke Shaw","LB"
"Luke Thomas","LB"
"Lyanco","CB"
"Lys Mousset","FW"
"Mads Bech Sørensen","CB"
"Mads Bidstrup","CM"
"Mads Roerslev","WB"
"Malang Sarr","LB"
